pid,delay,cfmt_raw,sex,age_year,participant_race,lineup,lineup_race,lineup_type,chooser,lineup_accuracy,lineup_decision,confidence,decision_time_sec,cross_race,expression,justification,cat,celebrity,kept,expression_spellcheck,justification_spellcheck,express_num,just_num,log_rt,mad_rt,statement
1,5Minute,67,Male,24,White,WC1.P.LINE,White,TP,Yes,1,Target,60,5.684,No,pretty,remember the goatee,O1,No,Yes,pretty,remember the goatee,FALSE,FALSE,1.7376552102348541,-0.324460633,pretty remember the goatee
1,5Minute,67,Male,24,White,WD2.NP.LINE,White,TA,Yes,0,Foil,40,31.335,No,sort of,looks familiar,F,No,Yes,sort of,looks familiar,FALSE,FALSE,3.444735683676639,2.2455803806665458,sort of looks familiar
2,Day,69,Female,32,White,WC1.P.LINE,White,TP,Yes,1,Target,100,13.357,No,almost certain,he looks very familiar,F,No,Yes,almost certain,he looks very familiar,FALSE,FALSE,2.592040591994968,0.961832255,almost certain he looks very familiar
2,Day,69,Female,32,White,WC2.P.LINE,White,TP,Yes,1,Target,100,3.385,No,I am certain that he was one frm yesterday,i distinctly remember him,R,No,Yes,I am certain that he was one from yesterday,I distinctly remember him,FALSE,FALSE,1.2193539063642382,-1.104772768,I am certain that he was one from yesterday I distinctly remember him
2,Day,69,Female,32,White,WC3.P.LINE,White,TP,Yes,1,Target,100,4.965,No,almost certain,he looks very familiar,F,No,Yes,almost certain,he looks very familiar,FALSE,FALSE,1.602413297497136,-0.528069817,almost certain he looks very familiar
3,Day,59,Male,22,White,WC2.P.LINE,White,TP,Yes,0,Foil,20,20.725,No,not at all,they all look like generic white people,?,No,Yes,not at all,they all look like generic white people,FALSE,FALSE,3.031340701021359,1.623206639724546,not at all they all look like generic white people
3,Day,59,Male,22,White,WC3.P.LINE,White,TP,Yes,0,Foil,40,4.334,No,shakey,I think i remember the dead look in his face,O1,No,Yes,shakey,I think I remember the dead look in his face,FALSE,FALSE,1.4664909031141673,-0.732703479,shakey I think I remember the dead look in his face
3,Day,59,Male,22,White,WD1.NP.LINE,White,TA,Yes,0,Foil,20,17.194,No,not really certain,I just think I remember his creepy look,O1,No,Yes,not really certain,I just think I remember his creepy look,FALSE,FALSE,2.844560485752252,1.342005594263572,not really certain I just think I remember his creepy look
3,Day,59,Male,22,White,WD2.NP.LINE,White,TA,Yes,0,Foil,60,12.067,No,50/50,Chin,O1,No,Yes,50/50,Chin,TRUE,FALSE,2.490474454091464,0.8089225686193142,50/50 Chin
3,Day,59,Male,22,White,WD3.NP.LINE,White,TA,Yes,0,Foil,60,6.309,No,fairly,he looks like one of my friends,U1,No,Yes,fairly,he looks like one of my friends,FALSE,FALSE,1.8419771853886724,-0.167401983,fairly he looks like one of my friends
4,5Minute,65,Female,28,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,5.853,No,somewhat,"Familiar, but cannot remember exactly",F,No,Yes,somewhat,"Familiar, but cannot remember exactly",FALSE,FALSE,1.7669543503090839,-0.28035024,"somewhat Familiar, but cannot remember exactly"
4,5Minute,65,Female,28,White,WD1.P.LINE,White,TP,Yes,1,Target,100,2.767,No,Very certain,I remember him by the shirt he was wearing before,U1,No,Yes,Very certain,I remember him by the shirt he was wearing before,FALSE,FALSE,1.0177637008047888,-1.408270526,Very certain I remember him by the shirt he was wearing before
4,5Minute,65,Female,28,White,WD2.P.LINE,White,TP,Yes,1,Target,20,4.22,No,not very certain,He looks familiar,F,No,Yes,not very certain,He looks familiar,FALSE,FALSE,1.4398351280479205,-0.772834238,not very certain He looks familiar
4,5Minute,65,Female,28,White,WD3.P.LINE,White,TP,Yes,1,Target,100,3.341,No,positive,I remembered his face because he looks like a friend.,U1,No,Yes,positive,I remembered his face because he looks like a friend.,FALSE,FALSE,1.2062701633746196,-1.124470583,positive I remembered his face because he looks like a friend.
6,5Minute,67,Female,31,White,WC2.NP.LINE,White,TA,Yes,0,Foil,20,6.941,No,not sure,looked most familiar,F,No,Yes,not sure,looked most familiar,FALSE,FALSE,1.9374458563574466,-0.023672145,not sure looked most familiar
6,5Minute,67,Female,31,White,WD1.P.LINE,White,TP,Yes,1,Target,100,3.558,No,remember,hes cute,?,No,Yes,remember,he's cute,FALSE,FALSE,1.2691985892436433,-1.029730682,remember he's cute
6,5Minute,67,Female,31,White,WD2.P.LINE,White,TP,Yes,1,Target,60,3.324,No,maybe,had a different look,?,No,Yes,maybe,had a different look,FALSE,FALSE,1.2011688769932016,-1.132150664,maybe had a different look
7,5Minute,71,Female,43,White,WC1.P.LINE,White,TP,Yes,1,Target,40,13.948,No,I am somewhat certain.,He looks familiar to me but I'm not sure.,F,No,Yes,I am somewhat certain.,He looks familiar to me but I'm not sure.,FALSE,FALSE,2.635336128813405,1.0270144811933917,I am somewhat certain. He looks familiar to me but I'm not sure.
7,5Minute,71,Female,43,White,WC2.P.LINE,White,TP,Yes,1,Target,100,11.506,No,I am certain in my response,"I remember his haircut, expression and mark on his eyebrow",Omany,No,Yes,I am certain in my response,"I remember his haircut, expression and mark on his eyebrow",FALSE,FALSE,2.4428686384411016,0.737251139,"I am certain in my response I remember his haircut, expression and mark on his eyebrow"
7,5Minute,71,Female,43,White,WC3.P.LINE,White,TP,Yes,1,Target,100,4.104,No,I am fairly certain that I have seen this face before.,"I recognized many of his facial features, such as his nose.",O1,No,Yes,I am fairly certain that I have seen this face before.,"I recognized many of his facial features, such as his nose.",FALSE,FALSE,1.4119621078684685,-0.814797582,"I am fairly certain that I have seen this face before. I recognized many of his facial features, such as his nose."
8,Day,64,Female,36,White,WD2.P.LINE,White,TP,Yes,1,Target,60,4.307,No,I am somewhat certain in my choice.,His haircut sparks my memory.,O1,No,Yes,I am somewhat certain in my choice.,His haircut sparks my memory.,FALSE,FALSE,1.4602416060719736,-0.742111911,I am somewhat certain in my choice. His haircut sparks my memory.
8,Day,64,Female,36,White,WD3.P.LINE,White,TP,Yes,1,Target,80,51.355,No,I am very certain I recognize the man above.,I recognize the haircut and mouth shape.,Omany,No,Yes,I am very certain I recognize the man above.,I recognize the haircut and mouth shape.,FALSE,FALSE,3.9387623026177674,2.9893465313353573,I am very certain I recognize the man above. I recognize the haircut and mouth shape.
9,5Minute,46,Female,38,White,WC1.P.LINE,White,TP,Yes,0,Foil,20,3.048,No,i think so,looks like one of the men,R,No,Yes,I think so,looks like one of the men,FALSE,FALSE,1.114485638,-1.262653873,I think so looks like one of the men
9,5Minute,46,Female,38,White,WC2.P.LINE,White,TP,Yes,0,Foil,20,3.613,No,i think he was there,looks right,R,No,Yes,I think he was there,looks right,FALSE,FALSE,1.2845384521655032,-1.006636237,I think he was there looks right
9,5Minute,46,Female,38,White,WC3.P.LINE,White,TP,Yes,0,Foil,0,17.684,No,i am guessing on this,looks most familiar,F,No,Yes,I am guessing on this,looks most familiar,FALSE,FALSE,2.8726602759639968,1.3843103446537144,I am guessing on this looks most familiar
10,Day,46,Female,41,White,WC1.P.LINE,White,TP,Yes,1,Target,80,2.763,No,I am really sure on this one.,I remember trying to remember eye and hair color,Omany,No,Yes,I am really sure on this one.,I remember trying to remember eye and hair color,FALSE,FALSE,1.0163170459412794,-1.410448491,I am really sure on this one. I remember trying to remember eye and hair color
10,Day,46,Female,41,White,WC2.P.LINE,White,TP,Yes,1,Target,80,3.714,No,I know i saw this one,"i concentrated on face shape ,  and thought he favored someone i know",OU,No,Yes,I know I saw this one,"I concentrated on face shape ,  and thought he favored someone I know",FALSE,FALSE,1.3121094629305141,-0.965127574,"I know I saw this one I concentrated on face shape ,  and thought he favored someone I know"
10,Day,46,Female,41,White,WD1.NP.LINE,White,TA,Yes,0,Foil,40,16.518,No,"I am not really that postive on this one, I clicked on the one i thought i had seen",Im really not sure. He looks familiar like i had seen him in the lineup last night,F,No,Yes,"I am not really that positive on this one, I clicked on the one I thought I had seen",I'm really not sure. He looks familiar like I had seen him in the lineup last night,FALSE,FALSE,2.804450695388525,1.281619568006721,"I am not really that positive on this one, I clicked on the one I thought I had seen I'm really not sure. He looks familiar like I had seen him in the lineup last night"
10,Day,46,Female,41,White,WD2.NP.LINE,White,TA,Yes,0,Foil,60,5.292,No,im a little certain i saw this one,"This picture came up a few times, and know i had seen it before",R,No,Yes,I'm a little certain I saw this one,"This picture came up a few times, and know I had seen it before",FALSE,FALSE,1.6661962462527091,-0.432043416,"I'm a little certain I saw this one This picture came up a few times, and know I had seen it before"
10,Day,46,Female,41,White,WD3.NP.LINE,White,TA,Yes,0,Foil,60,9.915,No,I am confident in this one,I remember thinking this one was too young,?,No,Yes,I am confident in this one,I remember thinking this one was too young,FALSE,FALSE,2.294048761971759,0.5132000805609539,I am confident in this one I remember thinking this one was too young
11,Day,55,Female,33,White,WC1.NP.LINE,White,TA,Yes,0,Foil,40,16.192,No,somewhat,he looks sort of like one of the previous photos,?,No,Yes,somewhat,he looks sort of like one of the previous photos,FALSE,FALSE,2.784517293105055,1.2516094646687952,somewhat he looks sort of like one of the previous photos
11,Day,55,Female,33,White,WD1.P.LINE,White,TP,Yes,1,Target,40,16.47,No,somewhat,He looks somewhat familiar.,F,No,Yes,somewhat,He looks somewhat familiar.,FALSE,FALSE,2.8015405441895487,1.2772382819137447,somewhat He looks somewhat familiar.
11,Day,55,Female,33,White,WD2.P.LINE,White,TP,Yes,1,Target,20,10.625,No,somewhat,"He looks sort of familiar, I vaguely remember the hair and features",FO,No,Yes,somewhat,"He looks sort of familiar, I vaguely remember the hair and features",FALSE,FALSE,2.3632097148104805,0.6173231656281027,"somewhat He looks sort of familiar, I vaguely remember the hair and features"
12,Day,52,Female,39,White,WC1.P.LINE,White,TP,Yes,0,Foil,40,10.335,No,50/50,Grrrrr........were they all wearing the same shirt yesterday?????,?,No,Yes,50/50,Grrrrr........were they all wearing the same shirt yesterday?????,TRUE,FALSE,2.3355361931337315,0.5756601703484531,50/50 Grrrrr........were they all wearing the same shirt yesterday?????
12,Day,52,Female,39,White,WC2.P.LINE,White,TP,Yes,0,Foil,20,15.776,No,this is too hard!  I have no clue,This one looks a little familiar,F,No,Yes,this is too hard!  I have no clue,This one looks a little familiar,FALSE,FALSE,2.7584897978602796,1.2124245924219328,this is too hard!  I have no clue This one looks a little familiar
12,Day,52,Female,39,White,WD1.NP.LINE,White,TA,Yes,0,Foil,60,6.088,No,Less certain than before,i don't remember everyone wearing the same shirt yesterday,?,No,Yes,Less certain than before,I don't remember everyone wearing the same shirt yesterday,FALSE,FALSE,1.8063196205593848,-0.221085102,Less certain than before I don't remember everyone wearing the same shirt yesterday
12,Day,52,Female,39,White,WD2.NP.LINE,White,TA,Yes,0,Foil,60,8.783,No,just maybe,I remember seeing someone like him yesterday and thinking he looked like a jerk,?,No,Yes,just maybe,I remember seeing someone like him yesterday and thinking he looked like a jerk,FALSE,FALSE,2.172818035,0.3306849938553295,just maybe I remember seeing someone like him yesterday and thinking he looked like a jerk
13,Day,66,Female,27,White,WC1.P.LINE,White,TP,Yes,1,Target,20,20.493,No,not sure,"he looks like my cousin, but i'm not sure if i remember him from yesterday",U1,No,Yes,not sure,"he looks like my cousin, but I'm not sure if I remember him from yesterday",FALSE,FALSE,3.0200833644178218,1.606258512657341,"not sure he looks like my cousin, but I'm not sure if I remember him from yesterday"
13,Day,66,Female,27,White,WC3.P.LINE,White,TP,Yes,1,Target,60,6.111,No,pretty certain,he kind of looked like a friend,U1,No,Yes,pretty certain,he kind of looked like a friend,FALSE,FALSE,1.8100904259127784,-0.215408085,pretty certain he kind of looked like a friend
13,Day,66,Female,27,White,WD2.NP.LINE,White,TA,Yes,0,Foil,20,10.144,No,not sure,his eyes seem familiar,FO,No,Yes,not sure,his eyes seem familiar,FALSE,FALSE,2.316882398,0.5475765386229756,not sure his eyes seem familiar
13,Day,66,Female,27,White,WD3.NP.LINE,White,TA,Yes,0,Foil,20,12.545,No,not sure,looked kind of familiar,F,No,Yes,not sure,looked kind of familiar,FALSE,FALSE,2.5293221798183856,0.8674085333798356,not sure looked kind of familiar
14,Day,58,Female,34,White,WC1.P.LINE,White,TP,Yes,0,Foil,60,3.203,No,"I am pretty sure, not certain but he seems familiar",His hair and eyes remind me of someone I know,?,No,Yes,"I am pretty sure, not certain but he seems familiar",His hair and eyes remind me of someone I know,FALSE,FALSE,1.164087870627021,-1.1879768,"I am pretty sure, not certain but he seems familiar His hair and eyes remind me of someone I know"
14,Day,58,Female,34,White,WC2.P.LINE,White,TP,Yes,0,Foil,20,22.668,No,"I think I remember his face, not sure though","Just his features, friendly eyes and innocent face seems familiar",FO,No,Yes,"I think I remember his face, not sure though","Just his features, friendly eyes and innocent face seems familiar",FALSE,FALSE,3.1209542383073727,1.7581214664152454,"I think I remember his face, not sure though Just his features, friendly eyes and innocent face seems familiar"
14,Day,58,Female,34,White,WD1.NP.LINE,White,TA,Yes,0,Foil,40,20.846,No,I feel like I remember his eyes,HIs slightly slanted eyes and eye brow shape seem familiar,FO,No,Yes,I feel like I remember his eyes,His slightly slanted eyes and eye brow shape seem familiar,FALSE,FALSE,3.0371620833171304,1.6319708377165039,I feel like I remember his eyes His slightly slanted eyes and eye brow shape seem familiar
14,Day,58,Female,34,White,WD2.NP.LINE,White,TA,Yes,0,Foil,80,8.86,No,I am pretty sure I recognize him,his eyes strike me as someone I've seen before,O1,No,Yes,I am pretty sure I recognize him,his eyes strike me as someone I've seen before,FALSE,FALSE,2.1815467646169897,0.3438262567486768,I am pretty sure I recognize him his eyes strike me as someone I've seen before
15,Day,63,Female,22,White,WC1.P.LINE,White,TP,Yes,1,Target,60,6.647,No,I'm halfway certain that I saw him yesterday,I think I remember seeing him yesterday and I found him attractive,R,No,Yes,I'm halfway certain that I saw him yesterday,I think I remember seeing him yesterday and I found him attractive,TRUE,FALSE,1.8941656250594447,-0.088831328,I'm halfway certain that I saw him yesterday I think I remember seeing him yesterday and I found him attractive
15,Day,63,Female,22,White,WD1.NP.LINE,White,TA,Yes,0,Foil,40,17.411,No,I am a little certain that I saw this face yesterday,He looks familiar to me,F,No,Yes,I am a little certain that I saw this face yesterday,He looks familiar to me,FALSE,FALSE,2.8571021903844613,1.3608873609933017,I am a little certain that I saw this face yesterday He looks familiar to me
15,Day,63,Female,22,White,WD2.NP.LINE,White,TA,Yes,0,Foil,80,41.948,No,I feel confident in my response,I believe I saw him yesterday,R,No,Yes,I feel confident in my response,I believe I saw him yesterday,FALSE,FALSE,3.7364307559721586,2.684732671,I feel confident in my response I believe I saw him yesterday
15,Day,63,Female,22,White,WD3.NP.LINE,White,TA,Yes,0,Foil,40,25.636,No,I'm fairly certain,He looks the most familiar,F,No,Yes,I'm fairly certain,He looks the most familiar,FALSE,FALSE,3.2439976136419806,1.943365528433743,I'm fairly certain He looks the most familiar
16,5Minute,71,Female,30,White,WC1.P.LINE,White,TP,Yes,1,Target,100,7.11,No,very certain,"hair style, eyes, facial hair",Omany,No,Yes,very certain,"hair style, eyes, facial hair",FALSE,FALSE,1.9615022438151495,0.012545188203560534,"very certain hair style, eyes, facial hair"
16,5Minute,71,Female,30,White,WC2.P.LINE,White,TP,Yes,1,Target,100,4.051,No,very certain,"eyebrows, eye shape",Omany,No,Yes,very certain,"eyebrows, eye shape",FALSE,FALSE,1.3989637642205535,-0.834366827,"very certain eyebrows, eye shape"
16,5Minute,71,Female,30,White,WC3.P.LINE,White,TP,Yes,1,Target,100,4.415,No,very certain,"his nose,small ears and head shap",Omany,No,Yes,very certain,"his nose, small ears and head shape",FALSE,FALSE,1.4850078340559234,-0.704825899,"very certain his nose, small ears and head shape"
17,Day,69,Male,41,White,WD1.P.LINE,White,TP,Yes,0,Foil,40,30.949,No,A little unsure,I think I saw this one yesterday but the memory is too hazy to be certain.,?,No,Yes,A little unsure,I think I saw this one yesterday but the memory is too hazy to be certain.,FALSE,FALSE,3.432340688430914,2.226919487613393,A little unsure I think I saw this one yesterday but the memory is too hazy to be certain.
